loss,mse_f1,mse_f2,mse_f3,mse_u_bc,mse_v_bc,mse_p_bc
2.937485933303833,0.002778141526505351,0.009033103473484516,0.04685679450631142,2.5970871448516846,0.022869188338518143,0.25886163115501404
2.5811617374420166,0.2886945307254791,0.0157729834318161,0.08510810881853104,1.960516333580017,0.14643409848213196,0.08463578671216965
2.1472980976104736,0.14942815899848938,0.025287913158535957,0.014512298628687859,1.7745918035507202,0.05739746242761612,0.1260804831981659
2.05067777633667,0.016296183690428734,0.02921179309487343,0.00658982340246439,1.7006876468658447,0.028458697721362114,0.26943349838256836
1.8984894752502441,0.007805004715919495,0.00018122659821528941,0.02542104199528694,1.5475276708602905,0.01612085849046707,0.3014335632324219
1.7090888023376465,0.0068654511123895645,0.011386842466890812,0.02354658581316471,1.3732556104660034,0.023303398862481117,0.27073100209236145
1.479950189590454,0.01090190839022398,0.007730449084192514,0.005432392004877329,1.2106380462646484,0.016721263527870178,0.22852610051631927
1.2982218265533447,0.025051483884453773,0.0022932514548301697,0.0030095272231847048,1.053659439086914,0.024140048772096634,0.1900681108236313
1.1582248210906982,0.05167565122246742,0.0014480935642495751,0.005064607597887516,0.8976650238037109,0.04085085541009903,0.1615206003189087
1.0196412801742554,0.05661910027265549,0.0020232757087796926,0.011251897551119328,0.7545464634895325,0.05062326416373253,0.14457736909389496
0.878048300743103,0.0184197835624218,0.0011681437026709318,0.034904129803180695,0.6439212560653687,0.045379966497421265,0.134255051612854
0.7861519455909729,0.0021081918384879827,0.00042250804835930467,0.048309486359357834,0.5858612060546875,0.028901418671011925,0.12054913491010666
0.746957540512085,0.019551653414964676,0.0006386841414496303,0.01092274859547615,0.5982424020767212,0.017712976783514023,0.09988907724618912
0.7783283591270447,0.0054390751756727695,0.0027595232240855694,0.012600191868841648,0.6520369052886963,0.024493319913744926,0.08099933713674545
0.8402412533760071,0.006891276221722364,0.004102002829313278,0.016490763053297997,0.7053208947181702,0.04440423846244812,0.06303208321332932
0.8669347763061523,0.025273166596889496,0.0032171672210097313,0.0031767087057232857,0.7236202955245972,0.0607750304043293,0.05087241157889366
0.8299327492713928,0.004680149257183075,0.006820547394454479,0.023674024268984795,0.6876837611198425,0.06581531465053558,0.041258908808231354
0.7996832728385925,0.010499418713152409,0.010789284482598305,0.039151497185230255,0.6419784426689148,0.061468370258808136,0.03579626604914665
0.7795185446739197,0.052169159054756165,0.007579780649393797,0.030837563797831535,0.6036310195922852,0.05192360281944275,0.03337747976183891
0.7559664845466614,0.049840524792671204,0.0031335600651800632,0.04207291454076767,0.5889596343040466,0.040803056210279465,0.03115680254995823
0.7372815012931824,0.022859590128064156,0.00449454877525568,0.05752722918987274,0.5892042517662048,0.03189721331000328,0.03129870444536209
0.719792902469635,0.013927069492638111,0.004950503818690777,0.046853430569171906,0.5891743302345276,0.02713128924369812,0.03775626793503761
0.7086273431777954,0.015844102948904037,0.002516938140615821,0.023318571969866753,0.5885472297668457,0.02673492394387722,0.0516655258834362
0.7165915966033936,0.01633307710289955,0.001345975324511528,0.009565668180584908,0.5897842645645142,0.029330044984817505,0.07023253291845322
0.729001522064209,0.010526342317461967,0.001641975250095129,0.005481127183884382,0.5904914140701294,0.031980808824300766,0.08887983113527298
