loss,mse_f1,mse_f2,mse_f3,mse_u_bc,mse_v_bc,mse_p_bc,a,b,c,d,e,f
0.09287548065185547,0.0002835554478224367,3.9627997466595843e-05,5.36344523425214e-05,0.00015272657037712634,9.635579772293568e-06,1.6934940504143015e-05,0.10557528585195541,0.05643777549266815,0.11229626834392548,0.15209606289863586,0.12107104808092117,0.09629408270120621
0.09284945577383041,0.00028346184990368783,3.96249488403555e-05,5.361765579436906e-05,0.00015267632261384279,9.632103683543392e-06,1.6933798178797588e-05,0.10555746406316757,0.05642346665263176,0.11227797716856003,0.15206609666347504,0.12104836106300354,0.09627364575862885
0.09282306581735611,0.0002833627222571522,3.962089249398559e-05,5.35994659003336e-05,0.00015262399392668158,9.628422048990615e-06,1.693243393674493e-05,0.10553964227437973,0.056409161537885666,0.11225967854261398,0.1520361304283142,0.12102566659450531,0.09625320881605148
0.09279663860797882,0.00028326414758339524,3.961757829529233e-05,5.3581781685352325e-05,0.00015257250925060362,9.624689482734539e-06,1.693081321718637e-05,0.10552182793617249,0.05639486014842987,0.11224137246608734,0.15200616419315338,0.12100297212600708,0.09623277187347412
0.09277037531137466,0.0002831648744177073,3.961362745030783e-05,5.356423571356572e-05,0.00015251881268341094,9.621071512810886e-06,1.6929996490944177e-05,0.10550401359796524,0.05638056620955467,0.1122230663895607,0.15197618305683136,0.12098027020692825,0.09621232748031616
0.0927438959479332,0.00028306469903327525,3.960969843319617e-05,5.354577660909854e-05,0.00015246761904563755,9.617489013180602e-06,1.6928584955167025e-05,0.10548620671033859,0.05636627599596977,0.11220475286245346,0.15194620192050934,0.12095756083726883,0.0961918830871582
0.09271753579378128,0.0002829628356266767,3.9605703932465985e-05,5.3527430281974375e-05,0.00015241741493809968,9.613882866688073e-06,1.692706428002566e-05,0.10546839982271194,0.05635198950767517,0.11218643188476562,0.15191622078418732,0.12093484401702881,0.09617143869400024
0.09269127994775772,0.00028286833548918366,3.9601687603862956e-05,5.3510706493398175e-05,0.0001523662213003263,9.610394954506774e-06,1.6925629097386263e-05,0.1054506003856659,0.05633770674467087,0.11216810345649719,0.1518862396478653,0.12091212719678879,0.09615099430084229
0.09266501665115356,0.0002827670832630247,3.959783134632744e-05,5.349296043277718e-05,0.00015231460565701127,9.606652383808978e-06,1.6924572264542803e-05,0.10543280094861984,0.05632342770695686,0.11214976757764816,0.15185624361038208,0.12088940292596817,0.09613054990768433
0.09263855963945389,0.0002826682466547936,3.959367313655093e-05,5.347535261535086e-05,0.00015226262621581554,9.602989848644938e-06,1.6923038856475614e-05,0.10541500896215439,0.056309156119823456,0.11213143169879913,0.15182624757289886,0.12086667120456696,0.09611010551452637
0.09261249005794525,0.0002825703704729676,3.959029709221795e-05,5.345675890566781e-05,0.00015221163630485535,9.599412805982865e-06,1.6921412679948844e-05,0.10539721697568893,0.05629488825798035,0.1121130883693695,0.15179625153541565,0.12084393203258514,0.09608966112136841
0.09258592128753662,0.00028247127193026245,3.958615707233548e-05,5.343918746802956e-05,0.0001521600061096251,9.595724804967176e-06,1.692014302534517e-05,0.10537943243980408,0.056280624121427536,0.11209473758935928,0.15176625549793243,0.12082119286060333,0.09606920927762985
0.09255976229906082,0.0002823706599883735,3.958265369874425e-05,5.342056101653725e-05,0.00015210792480502278,9.592203241481911e-06,1.6919017070904374e-05,0.10536164790391922,0.056266363710165024,0.11207637935876846,0.15173624455928802,0.12079844623804092,0.0960487574338913
0.09253346174955368,0.0002822678943630308,3.957846638513729e-05,5.340310599422082e-05,0.00015205773524940014,9.588661669113208e-06,1.691813304205425e-05,0.10534387081861496,0.05625211074948311,0.11205802112817764,0.15170623362064362,0.12077569216489792,0.09602830559015274
0.09250708669424057,0.0002821689413394779,3.9574330003233626e-05,5.338496339390986e-05,0.00015200632333289832,9.584872714185622e-06,1.6916595996008255e-05,0.1053260937333107,0.05623786151409149,0.11203965544700623,0.1516762226819992,0.12075293064117432,0.09600785374641418
0.09248082339763641,0.00028207030845806,3.95703136746306e-05,5.336649701348506e-05,0.00015195427113212645,9.581295671523549e-06,1.6915184460231103e-05,0.10530832409858704,0.05622361600399017,0.11202128231525421,0.1516462117433548,0.12073016911745071,0.09598740190267563
0.09245435148477554,0.0002819739165715873,3.9566875784657896e-05,5.334877278073691e-05,0.0001519030483905226,9.57766951614758e-06,1.69138493220089e-05,0.10529055446386337,0.05620937421917915,0.1120029017329216,0.1516161859035492,0.12070740014314651,0.09596695005893707
0.09242812544107437,0.00028187286807224154,3.9562673919135705e-05,5.333111039362848e-05,0.0001518521021353081,9.57402244239347e-06,1.6912743376451544e-05,0.1052727922797203,0.05619513615965843,0.11198452115058899,0.1515861600637436,0.12068462371826172,0.09594649076461792
0.09240176528692245,0.0002817729546222836,3.955816646339372e-05,5.331295324140228e-05,0.00015180114132817835,9.570403562975116e-06,1.6911302736843936e-05,0.10525503009557724,0.05618090555071831,0.11196613311767578,0.151556134223938,0.12066183984279633,0.09592603147029877
0.09237535297870636,0.0002816745836753398,3.9554881368530914e-05,5.329522173269652e-05,0.00015174680447671562,9.566796506987885e-06,1.6910080375964753e-05,0.10523727536201477,0.05616667866706848,0.11194773763418198,0.1515260934829712,0.12063905596733093,0.09590557217597961
0.09234927594661713,0.0002815741754602641,3.955011925427243e-05,5.3277624829206616e-05,0.00015169699327088892,9.563037565385457e-06,1.6908901670831256e-05,0.1052195206284523,0.056152455508708954,0.11192933470010757,0.1514960527420044,0.12061626464128494,0.09588511288166046
0.09232290834188461,0.0002814750769175589,3.954684143536724e-05,5.3259849664755166e-05,0.00015164603246375918,9.559745194565039e-06,1.6907122699194588e-05,0.10520177334547043,0.056138236075639725,0.11191092431545258,0.1514660120010376,0.12059346586465836,0.09586465358734131
0.09229670464992523,0.00028137347544543445,3.9543323509860784e-05,5.3241987188812345e-05,0.00015159563918132335,9.556125405651983e-06,1.69059494510293e-05,0.10518402606248856,0.05612402409315109,0.11189251393079758,0.1514359712600708,0.12057065963745117,0.09584419429302216
0.09227035939693451,0.00028127312543801963,3.953884151997045e-05,5.322380820871331e-05,0.00015154320863075554,9.55237919697538e-06,1.6904654330573976e-05,0.10516628623008728,0.05610981583595276,0.11187409609556198,0.1514059156179428,0.12054785341024399,0.095823734998703
